txn_id,utr_ref,date,time,from_account_no,from_account_name,from_bank,to_account_no,to_account_name,to_bank,amount,mode
TXN00274,UTR879684193858,2024-01-01,18:37:26,64733283579,Nikhil Sharma,Punjab National Bank,10884387334,Yash Chopra,Bank of Baroda,1200,Cash Withdrawal
TXN01263,UTR809412982575,2024-01-01,18:42:28,64162634588,Rajesh Sinha,SBI,68040380973,Sunil Malik,ICICI Bank,4000,UPI
TXN00429,UTR224663262511,2024-01-01,21:13:01,88481678051,Munna Tyagi,Punjab National Bank,68815550998,Poonam Chawla,Punjab National Bank,2500,Cash Withdrawal
TXN00893,UTR589365542619,2024-01-01,23:05:49,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,79909315319,Pranay Dutta Roy,Axis Bank,35000,NEFT
TXN00065,UTR796315464404,2024-01-02,09:37:23,18633362450,Ajay Yadav,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,IMPS
TXN00974,UTR114290653537,2024-01-02,09:50:07,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,23680352646,Simran Kaur,Kotak Mahindra Bank,22000,NEFT
TXN00307,UTR515819992384,2024-01-02,19:25:19,08198427361,Amit Verma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,NEFT
TXN00678,UTR368254574666,2024-01-03,13:28:32,18056893044,Ramesh Chandra Pandey,Punjab National Bank,41992454521,Anita Rani,Axis Bank,500,Cash Deposit
TXN01336,UTR773363230453,2024-01-03,15:26:59,35059071685,Sunita Rawat,HDFC Bank,82760561101,Guddi Bai,SBI,4000,RTGS
TXN00669,UTR746351749919,2024-01-03,16:43:24,18056893044,Ramesh Chandra Pandey,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,NEFT
TXN00397,UTR396538133713,2024-01-04,08:16:49,05606834229,Lakhan Singh Bhatti,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,Cash Withdrawal
TXN01041,UTR299954001665,2024-01-04,08:36:59,86831863542,Neha Agarwal,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,Cash Deposit
TXN00160,UTR488658933630,2024-01-04,09:37:49,54219677717,Deepak Chaudhary,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,NEFT
TXN00220,UTR625971950548,2024-01-04,10:11:18,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65580053757,Kavita Devi,Bank of Baroda,35000,NEFT
TXN00550,UTR226355499731,2024-01-04,17:13:25,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,44396022575,Chandu Meena,Axis Bank,45000,NEFT
TXN01036,UTR163043909760,2024-01-04,19:21:12,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,86831863542,Neha Agarwal,Axis Bank,45000,NEFT
TXN01017,UTR710658305811,2024-01-05,06:29:37,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,64281559570,Rohan Kapoor,HDFC Bank,18000,NEFT
TXN00964,UTR601678148392,2024-01-05,15:38:50,23680352646,Simran Kaur,Kotak Mahindra Bank,41492355953,Arjun Mehta,ICICI Bank,2500,Cash Withdrawal
TXN01399,UTR587463693740,2024-01-05,17:43:55,32437664397,Manoj Tiwari,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,Cash Withdrawal
TXN00733,UTR794313829266,2024-01-06,08:03:18,78264257436,Naveen Kumar Sharma,SBI,65580053757,Kavita Devi,Bank of Baroda,500,RTGS
TXN00186,UTR940688473981,2024-01-06,16:53:58,43686792403,Salman Qureshi,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,RTGS
TXN00356,UTR830104948248,2024-01-06,17:59:54,80450816830,Chhotu Ansari,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,RTGS
TXN00219,UTR388610197772,2024-01-06,20:29:47,65580053757,Kavita Devi,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,Cash Deposit
TXN01310,UTR895288099043,2024-01-06,23:12:11,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,76092570588,Deepak Yadav,SBI,60000,NEFT
TXN00821,UTR586847181993,2024-01-06,23:26:47,36247945967,Rekha Devi,Bank of Baroda,08198427361,Amit Verma,SBI,7500,Cash Deposit
TXN00689,UTR969375803975,2024-01-07,17:28:44,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,41992454521,Anita Rani,Axis Bank,18000,NEFT
TXN01428,UTR665954390334,2024-01-08,06:45:01,54219677717,Deepak Chaudhary,ICICI Bank,65580053757,Kavita Devi,Bank of Baroda,60000,Cash Deposit
TXN00843,UTR127412619875,2024-01-08,09:47:08,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,94695183670,Vivek Malhotra,Axis Bank,22000,NEFT
TXN00225,UTR204289256679,2024-01-08,10:48:22,65580053757,Kavita Devi,Bank of Baroda,49471531912,Mahesh Chand Gupta,ICICI Bank,2500,Cash Withdrawal
TXN00611,UTR966509917547,2024-01-08,19:15:21,68826141830,Suresh Kumar Jain,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,Cash Deposit
