vehicle_id,reg_no,vehicle_type,make_model,colour,chassis_no,engine_no,owner_name,owner_person_id,registration_date,rto_office,status,theft_date
V0001,DL-04CX-5070,Four-Wheeler,Maruti Alto,Grey,MBFT1F8N3P01PK6MY,FF7X2CUA4P0F,Mahesh Chand Gupta,,2021-09-07,RTO Rohini,Active,
V0002,DL-01AX-4536,Four-Wheeler,Maruti Swift,Silver,MBL5M9MCHBL73F4FK,WA1YJ2NDP5T2,Mahesh Chand Gupta,,2024-03-12,RTO Burari,Active,
V0003,DL-03CZ-7689,Two-Wheeler,Honda Activa,Black,MBGHKVMM3KPX8RTH0,ME9VADYP12Y2,Suresh Kumar Jain,,2021-07-27,RTO Loni Road,Active,
V0004,DL-02CX-7111,Four-Wheeler,Hyundai i20,Silver,MB25RWRWGXPS1V5F5,3TE9VX7JT4V3,Suresh Kumar Jain,,2023-10-06,RTO Loni Road,Active,
V0005,DL-14BX-7223,Four-Wheeler,Tata Nexon,Red,MBNZAZVNLT3R3Z2AH,9NAWL95PT36V,Priya Singh,,2019-12-01,RTO Janakpuri,Active,
V0006,DL-02SX-7828,Two-Wheeler,Hero Maestro,Red,MB0VNG22MT6YJJ513,M0TPU61M77LE,Priya Singh,,2022-04-15,RTO Rohini,Active,
V0007,DL-06BX-6500,Two-Wheeler,TVS Jupiter,Silver,MBAUAX3TLJD2CDY9R,VL5D3RNH8LUU,Ramesh Chandra Pandey,,2023-06-03,RTO Rohini,Active,
V0008,DL-03AZ-9764,Four-Wheeler,Hyundai i20,Black,MBHJJKFC91LZRLYDY,4NWMHK8AR1GS,Anita Rani,,2022-08-24,RTO Rohini,Active,
V0009,DL-14CY-7113,Two-Wheeler,Bajaj Pulsar,Red,MBXC2BWLJAVVVH84E,CZLXYXC1URKB,Naveen Kumar Sharma,,2024-05-24,RTO Vasant Vihar,Active,
V0010,DL-12CX-9587,Four-Wheeler,Hyundai i20,Blue,MBDPSTLG4ABNJMWDT,M4KAC925ELRY,Farhan Ahmed,,2021-03-16,RTO Rohini,Active,
V0011,DL-06CX-8940,Two-Wheeler,TVS Jupiter,Grey,MBG4NMJ7SMTL9ESSR,32ESTXY8NGBC,Farhan Ahmed,,2021-01-11,RTO Sarai Kale Khan,Active,
V0012,DL-03AZ-5176,Two-Wheeler,Hero Maestro,Black,MBVN0HLZ1KWTN5DBZ,RKF1BZX1SKEB,Sanjay Bhardwaj,,2018-03-07,RTO Sarai Kale Khan,Active,
V0013,DL-05SZ-1012,Four-Wheeler,Tata Nexon,Blue,MBH4F0841TXZHUSEC,RUXGUWSP55BT,Rekha Devi,,2018-07-04,RTO Burari,Active,
V0014,DL-08BY-6257,Two-Wheeler,Hero Maestro,White,MBSGV2PEU68YFBDFJ,3N4BBHXPPGA4,Vivek Malhotra,,2024-05-06,RTO Sarai Kale Khan,Active,
V0015,DL-12BX-6075,Two-Wheeler,Bajaj Pulsar,Grey,MB31GEUWTLUHCET72,JV7P9W5T9TM6,Pranay Dutta Roy,,2020-03-07,RTO Loni Road,Active,
V0016,DL-04AZ-9454,Four-Wheeler,Hyundai i20,Black,MBR4KAY2FA4F46GFA,NFSWNHKTWMNF,Kavya Reddy,,2022-02-11,RTO Janakpuri,Active,
V0017,DL-07AZ-1701,Two-Wheeler,Hero Maestro,Blue,MBT7ZPZJCXRP47LZM,WBBZKJ4CEXV0,Arjun Mehta,,2019-09-11,RTO Burari,Active,
V0018,DL-05SZ-6622,Four-Wheeler,Hyundai i20,Blue,MBNLCMF724101TGPZ,JETGA01XSHVU,Simran Kaur,,2021-03-05,RTO Burari,Active,
V0019,DL-12SZ-9320,Two-Wheeler,Hero Maestro,White,MBTKS3JTW41FZB8R7,E8WS9CJ6EZJZ,Rohan Kapoor,,2024-12-18,RTO Janakpuri,Active,
V0020,DL-14CZ-1255,Two-Wheeler,Honda Activa,Blue,MBN68APCRK4MJ6VBC,WDCS208JVZKC,Neha Agarwal,,2024-06-19,RTO Loni Road,Active,
V0021,DL-11AX-9395,Four-Wheeler,Maruti Alto,Red,MB7F13TW7AMBTRMBL,RWTX2Z2LT0LA,Tanvi Joshi,,2019-09-15,RTO Vasant Vihar,Active,
V0022,DL-11AZ-3905,Four-Wheeler,Maruti Swift,Red,MBKD92K6P9H2Y4XYP,EFRS1LS3RYFM,Aditya Rathore,,2018-12-02,RTO Janakpuri,Active,
V0023,DL-04AY-6558,Four-Wheeler,Maruti Alto,White,MBAM44XULK70J756M,68W56G7C6NHZ,Ishita Bose,,2021-01-13,RTO Vasant Vihar,Active,
V0024,DL-14SZ-4200,Two-Wheeler,Royal Enfield Classic,Grey,MBH4AHJNJRTBZDCNC,NRPPAM6T7Z0Z,Ishita Bose,,2020-04-10,RTO Janakpuri,Active,
V0025,DL-03SX-7552,Two-Wheeler,TVS Jupiter,Red,MB0YM7YW78A7BTFYG,B40AM0Z0YUXT,Karan Malhotra,,2021-03-20,RTO Sarai Kale Khan,Active,
V0026,DL-14SX-8893,Two-Wheeler,Hero Maestro,Black,MBFNHZ1XRSDJT2LAY,XN1U8MLBDKCW,Karan Malhotra,,2020-08-05,RTO Janakpuri,Active,
V0027,DL-11AZ-5241,Two-Wheeler,Hero Maestro,Grey,MBXSDST4HFMANX810,JRP496U3N5RV,Meera Nair,,2022-01-23,RTO Sarai Kale Khan,Active,
V0028,DL-13CX-1624,Four-Wheeler,Maruti Swift,Grey,MBCNU4AEFLBSFHEEF,BU00M51D4M7N,Yash Chopra,,2022-08-11,RTO Janakpuri,Active,
V0029,DL-12AZ-6034,Two-Wheeler,Bajaj Pulsar,White,MBCPNC9XS6HU3PHCL,7HMNJL4ETFSP,Abid Khan,,2024-09-25,RTO Rohini,Active,
V0030,DL-08BZ-5438,Four-Wheeler,Tata Nexon,Silver,MBT5J6Z7S9GJEELSJ,3VBV1M0DEN9T,Rajesh Sinha,,2020-03-05,RTO Burari,Active,
V0031,DL-10BX-6625,Two-Wheeler,Royal Enfield Classic,Red,MBSPUUR9G7J7UT6MP,WB6UB0A1JUFJ,Farhana Begum,,2021-09-28,RTO Rohini,Active,
V0032,DL-03AX-3557,Four-Wheeler,Tata Nexon,Black,MB9G7G4W928AF60SZ,XGBHLSVPR7CW,Farhana Begum,,2019-07-27,RTO Burari,Active,
V0033,DL-14SX-4381,Two-Wheeler,Hero Maestro,White,MBFF1M4KP4WGFEY8K,R9EE2S9V7NY4,Deepak Yadav,,2022-10-11,RTO Burari,Active,
V0034,DL-08CZ-4779,Two-Wheeler,Bajaj Pulsar,Grey,MB367T01ZE9CP8B54,DPF537BNRES1,Deepak Yadav,,2019-03-21,RTO Sarai Kale Khan,Active,
V0035,DL-11AZ-2041,Four-Wheeler,Maruti Alto,White,MB7CN32JAXXNU0HS7,V602LBE9CX9V,Sunita Rawat,,2021-01-28,RTO Burari,Active,
V0036,DL-03CY-7170,Four-Wheeler,Maruti Swift,Red,MBCNU72CNF8KPL7YH,79H5KDK2RRTJ,Irfan Ali,,2023-03-01,RTO Loni Road,Active,
V0037,DL-08CY-8251,Two-Wheeler,Royal Enfield Classic,White,MBWG8D0RJXAAJ49AY,410REZLKGCZ2,Poonam Chawla,,2018-06-23,RTO Loni Road,Active,
V0038,DL-12SX-1883,Two-Wheeler,Bajaj Pulsar,Red,MBGF4GW9G6RKJ0GX9,T4EP8MZU8HAL,Manoj Tiwari,,2022-01-03,RTO Sarai Kale Khan,Active,
V0039,DL-09BZ-4554,Two-Wheeler,Royal Enfield Classic,Grey,MBN8YW5HADY2TSWWF,JDEXYNMR4MPD,Poonam Chawla,,2022-01-24,RTO Janakpuri,Stolen,2024-12-15
V0040,DL-01BY-5239,Two-Wheeler,Royal Enfield Classic,Grey,MB3SURGYDAFED2MRF,SZ53JT2N5W16,Abid Khan,,2024-05-12,RTO Vasant Vihar,Stolen,2024-04-18
V0041,DL-10CZ-8976,Four-Wheeler,Tata Nexon,White,MB3T5VWWZNTMVGWDV,4N5H2M2G66RD,Abid Khan,,2018-09-16,RTO Rohini,Stolen,2024-06-07
V0042,DL-11CX-2754,Four-Wheeler,Hyundai i20,Grey,MBWSTY2HGH6MPNAK9,PZKVMB0YTHEN,Suresh Kumar Jain,,2022-06-21,RTO Loni Road,Stolen,2024-08-17
V0043,DL-11CY-5733,Four-Wheeler,Maruti Alto,White,MB2GYA8GZJM46ZE2M,771X54N7THHK,Arjun Mehta,,2021-05-06,RTO Vasant Vihar,Stolen,2024-09-03
V0044,DL-07SX-6065,Four-Wheeler,Hyundai i20,Black,MBD41WX1HK5H45PJD,7ATCED2MC2EX,Suresh Kumar Jain,,2019-12-08,RTO Burari,Stolen,2024-02-19
V0045,DL-11AZ-2979,Two-Wheeler,Royal Enfield Classic,Black,MBYJZA57M6GHD2ULE,62NZXBLWS1DD,Tanvi Joshi,,2024-10-27,RTO Rohini,Stolen,2024-12-01
V0046,DL-14AZ-1164,Two-Wheeler,TVS Jupiter,Red,MBVM0EGJ1UNNU89AJ,K3WXB2M121NH,Manoj Tiwari,,2019-05-14,RTO Rohini,Stolen,2024-03-12
