transfer_id,reg_no,date,from_owner,to_owner,transfer_type,note
TR0001,DL-09BZ-4554,2024-12-19,Poonam Chawla,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0002,DL-09BZ-4554,2024-12-23,Vikas Tomar @ Vicky,Mohan Lal Verma,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
TR0003,DL-01BY-5239,2024-04-21,Abid Khan,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0004,DL-01BY-5239,2024-04-30,Vikas Tomar @ Vicky,Suresh Prajapati,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
TR0005,DL-10CZ-8976,2024-06-08,Abid Khan,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0006,DL-10CZ-8976,2024-06-15,Vikas Tomar @ Vicky,Mohan Lal Verma,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
TR0007,DL-11CX-2754,2024-08-19,Suresh Kumar Jain,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0008,DL-11CX-2754,2024-08-28,Vikas Tomar @ Vicky,Nasir Khan,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
TR0009,DL-11CY-5733,2024-09-07,Arjun Mehta,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0010,DL-11CY-5733,2024-09-16,Vikas Tomar @ Vicky,Suresh Prajapati,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
TR0011,DL-07SX-6065,2024-02-22,Suresh Kumar Jain,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0012,DL-07SX-6065,2024-02-28,Vikas Tomar @ Vicky,Suresh Prajapati,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
TR0013,DL-11AZ-2979,2024-12-02,Tanvi Joshi,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0014,DL-11AZ-2979,2024-12-07,Vikas Tomar @ Vicky,Suresh Prajapati,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
TR0015,DL-14AZ-1164,2024-03-15,Manoj Tiwari,Ajay Yadav @ Kaala,Suspected illegal handover (unregistered),Vehicle traced to chop-shop; chassis/engine number suspected tampered
TR0016,DL-14AZ-1164,2024-03-18,Vikas Tomar @ Vicky,Ismail Sheikh,"Cash sale, no RC transfer filed",Suspected fencing sale using altered chassis/engine number
